37912 2016-11-26 18:49:35,565 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 11488579 ; 消耗时间：1.5166568756103516
37912 2016-11-26 18:49:35,565 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:35,566 HJSpider.py[line:182] INFO:  获取的用户uid为：2289413
38060 2016-11-26 18:49:35,944 ListenUsers.py[line:266] DEBUG:  用户: uid : 4261501; name : recreation; nickName : 不玩了，おさらば; gender : 1; city : 重庆; registDate : 2009/12/14 17:05:00; signinLast : 311; lastSignin : 3年前; selfIntroduction : [[[夢という夢がなかったぼくに夢を与えてくれたのは貴女だけです]]]
38060 2016-11-26 18:49:35,944 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 4261501 ; 消耗时间：1.3685641288757324
38060 2016-11-26 18:49:35,944 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:35,944 HJSpider.py[line:182] INFO:  获取的用户uid为：2566617
37664 2016-11-26 18:49:36,767 ListenUsers.py[line:266] DEBUG:  用户: uid : 11165624; name : ericat625; nickName : 艾利猫; gender : -1; city : 上海; registDate : 2011/12/9 23:25:00; signinLast : 596; lastSignin : 1年前; selfIntroduction : [[[透明的飘来，然后又透明的飘走。喵的，难道我是鬼啊！！！]]]
37664 2016-11-26 18:49:36,767 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 11165624 ; 消耗时间：3.1663079261779785
37664 2016-11-26 18:49:36,768 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
37912 2016-11-26 18:49:36,979 ListenUsers.py[line:266] DEBUG:  用户: uid : 12981572; name : 忘之忆之; nickName : 忘之忆之; gender : 0; city : 宁德; registDate : 2012/5/12 12:55:00; signinLast : 355; lastSignin : 1周前; selfIntroduction : [[[]]]
37912 2016-11-26 18:49:36,980 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 12981572 ; 消耗时间：1.4133729934692383
37912 2016-11-26 18:49:36,980 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
38060 2016-11-26 18:49:37,394 ListenUsers.py[line:266] DEBUG:  用户: uid : 7167289; name : warritme; nickName : ; gender : 1; city : 青岛; registDate : 2010/12/27 20:53:00; signinLast : 1038; lastSignin : 1年前; selfIntroduction : [[[]]]
38060 2016-11-26 18:49:37,395 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 7167289 ; 消耗时间：1.4501569271087646
38060 2016-11-26 18:49:37,395 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:37,525 ListenArticles.py[line:151] DEBUG:  文章: uid : 15465882001; type : 娱乐; title : 【滑头鬼之孙·千年魔京】第六回（2）; commentCount : 2; averageScore : 80; timeLast : 92; publishTime : 2012/7/18 9:00:10; contributorId : 4397380; difficultLevel : 初中级级别; rewards : 3; tags : ['滑头鬼之孙', '千年魔京', '日本动漫', '动漫日语'];
35172 2016-11-26 18:49:37,525 HJSpider.py[line:170] INFO:  **********正在访问文章的UID是：15465882001  贡献者为：4397380
35172 2016-11-26 18:49:38,039 HJSpider.py[line:182] INFO:  获取的用户uid为：11476205
37664 2016-11-26 18:49:38,129 ListenUsers.py[line:266] DEBUG:  用户: uid : 1756628; name : chizuru520; nickName : ; gender : 1; city : 武汉; registDate : 2007/10/28 12:10:00; signinLast : 6; lastSignin : 2个月前; selfIntroduction : [[[]]]
37664 2016-11-26 18:49:38,129 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 1756628 ; 消耗时间：1.3615381717681885
37664 2016-11-26 18:49:38,129 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:38,295 HJSpider.py[line:182] INFO:  获取的用户uid为：9609407
37912 2016-11-26 18:49:38,581 ListenUsers.py[line:266] DEBUG:  用户: uid : 3716688; name : w185567059; nickName : ; gender : 0; city : 上海; registDate : 2009/6/27 14:21:00; signinLast : 62; lastSignin : 2个月前; selfIntroduction : [[[感無量！]]]
37912 2016-11-26 18:49:38,582 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 3716688 ; 消耗时间：1.602302074432373
37912 2016-11-26 18:49:38,583 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
38060 2016-11-26 18:49:38,820 ListenUsers.py[line:266] DEBUG:  用户: uid : 3280263; name : g7220505; nickName : ; gender : 1; city : 海宁; registDate : 2009/3/10 17:01:00; signinLast : 2146; lastSignin : 2天前; selfIntroduction : [[[]]]
38060 2016-11-26 18:49:38,820 ListenUserInfoGetter.py[line:35] INFO:  信息获取成功 : 3280263 ; 消耗时间：1.4249579906463623
38060 2016-11-26 18:49:38,820 ListenUserInfoGetter.py[line:23] WARNING:  目前优先队列有0个元素
35172 2016-11-26 18:49:38,882 HJSpider.py[line:182] INFO:  获取的用户uid为：13606755
35172 2016-11-26 18:49:38,882 HJSpider.py[line:182] INFO:  获取的用户uid为：5131011
37664 2016-11-26 18:49:39,155 ListenUsers.py[line:221] WARNING:  http://bulo.hujiang.com/u/6978548/: redirect 302
37664 2016-11-26 18:49:39,156 ListenUsers.py[line:223] WARNING:  提示: 用户设定部落主页私有。
37664 2016-11-26 18:49:39,430 ListenUsers.py[line:232] DEBUG:  用户: uid : 6978548; name : yiki0325; nickName : 阿梨喵; gender : -1; city : 上海; registDate : 1970/1/1 0:0:0; signinLast : 1164; lastSignin : ; selfIntroduction : [[[]]]
